noCorrida,dimensionArreglo,tiempo
1,100,13800
2,500,180900
3,1000,1245400
4,1500,2401800
5,2000,4156100
6,3000,882400
7,4000,1517300
8,5000,2398400
9,7000,4647700
10,10000,9550900
